"TimeStamp","ComputerName","Message"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVMBoot] VM Boot configured for Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVMBoot] Exiting ConfigureVMBoot function"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVM] Starting ConfigureVM function"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVM] VM Proxmox_v8_1_20231210_173621 configured"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [ConfigureVM] Exiting ConfigureVM function"
"2023-12-10 17:36:25","LAB-HV01","2023-12-10 17:36:25 LAB-HV01: [INFO] [EnableVMTPM] Starting Enable-VMTPM function"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [EnableVMTPM] TPM enabled for Proxmox_v8_1_20231210_173621"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [EnableVMTPM] Exiting Enable-VMTPM function"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [2-Create-HyperV_VM7-withlogging.ps1] Completed main script execution"
"2023-12-10 17:36:26","LAB-HV01","2023-12-10 17:36:26 LAB-HV01: [INFO] [Export-EventLog] Event log '173620_CreateNewHyperV_VM' exported to 'C:\code\CreateNewHyperV_VM\exports\Logs\LAB-HV01\2023-12-10-17-36-20\173620_CreateNewHyperV_VM-Transcript.evtx'"
